date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,16.0921993255615
2015,16.5168505774397,778697.1,16.570499420166
2014,17.0903588438944,782684.4,17.1315994262695
2013,16.3208850422585,783549.1,16.3194999694824
2012,14.3916489650323,708149.9,14.390700340271
2011,11.9049402680297,591321.2,11.9040002822876
2010,12.7940929982975,665169.0,12.7934999465942
2009,12.5397527301242,642121.3,12.5392999649048
2008,10.8233492990728,587284.9,10.8232002258301
2007,8.73172974748555,474291.2,8.73159980773926
2006,7.51256404147516,411530.8,7.51230001449585
